title,artist,album,year,duration,tags
A csúcson túl,Majka/Curtis/Nika,A csúcson túl,2020,194815,Current;Magyar;Nyár
Midnight Sky,Miley Cyrus,Midnight Sky,2020,223329,Current
Harleys In Hawaii,Katy Perry,,2020,182296,Recurrent 1
The Other Side,Jason Derulo,,2013,220287,Recurrent 2;Ritka
Come,Jain,,2015,160217,Recurrent 2
You,James Arthur/Travis Barker,,2019,231572,Recurrent 1;Ritka
All The Time,Zara Larsson,,2019,194861,P1
Ride,Twenty One Pilots,,2015,210090,P2
Family,The Chainsmokers/Kygo,,2019,194826,Recurrent 1;Ritka
The Man,Taylor Swift,,2019,191425,Recurrent 1
